filename,left-eye,right-eye
1-6939-_jpg.rf.9c64ecdbaab36376257653b3c4f56177.jpg,1,1
1-6893-_jpg.rf.28156d92e262d81532744578507d7087.jpg,1,1
1-6965-_jpg.rf.74d5dab274b56f4b9942c9f335046733.jpg,1,1
1-6848-_jpg.rf.0b3a80058d603efcf466fe06accf64f4.jpg,1,1
af2701fe-c1b6-44b2-895b-74ceb564045c_JPG.rf.0c0f630d15271bcaac5771b13467414b.jpg,1,1
1-6933-_jpg.rf.1ab34377b6ce2e6a6611fbca72f7928f.jpg,1,1
1-6888-_jpg.rf.1282f36caea48e0bd6e61d0930d39534.jpg,1,1
1-6841-_jpg.rf.363e9949d5f560d50309e66211653fc9.jpg,1,1
1-6962-_jpg.rf.7411477dfa40fbbf660a8345d1f4f763.jpg,1,1
1-6905-_jpg.rf.3e787c111771fe0bdc61e24ba7c1a011.jpg,1,0
1-6898-_jpg.rf.69be823b1eab34869aa8d06070f0cf8f.jpg,1,1
1-6881-_jpg.rf.6382a1ce66925cd12d863c8c0e6d93e8.jpg,1,1
1-6966-_jpg.rf.c036fee493bd3f1ecbfbf1f588d89455.jpg,1,1
1-6860-_jpg.rf.d3910a431e1fd95403f75915a6395708.jpg,1,1
1-6846-_jpg.rf.306431161379242ef379b3207e5c85dd.jpg,1,1
1-6854-_jpg.rf.59f63c1e6b71f84d46d363d6968bb340.jpg,1,1
1-6890-_jpg.rf.4012e13448fa2c58efabb908f73b2550.jpg,1,1
1-6942-_jpg.rf.a67056eeab0d3339f74fbe2707b88974.jpg,1,1
1-6932-_jpg.rf.2b820eccc3742497559a91fe89db3aa7.jpg,1,1
1-6861-_jpg.rf.c2486a6253858e7c799a01c32cf26fb8.jpg,1,1
1-6895-_jpg.rf.390bd8135025fc23b12d112bda887787.jpg,1,1
1-6840-_jpg.rf.a81f4ebc3a9daaab868ee0be62bab71f.jpg,1,1
1-6985-_jpg.rf.dc45d2197bb707a5ed30a4cd6fec1a06.jpg,1,1
1-6862-_jpg.rf.ea5b0797cb9f6d28beedc49efe545f99.jpg,1,1
1-6871-_jpg.rf.7a6c2e966ba8cc2ce8173dd05d462d39.jpg,1,1
1-6857-_jpg.rf.03fdbbecbf342b8c838cbcb958de2535.jpg,1,1
1-6926-_jpg.rf.e587becc8574b9fc4ba491662c4c3415.jpg,1,1
1-6855-_jpg.rf.116cc717a5600d9c656b39369163c12c.jpg,1,1
